"NDC","YEAR","MONTH"
"0270-0091-01",1989,12
"0270-1315-45",2014,6
"0270-1315-95",2014,6
"0270-1316-45",2014,6
"0270-1316-95",2014,6
"0270-5164-12",2004,11
"0270-5164-13",2004,11
"0270-5164-14",2004,11
"0270-5164-15",2004,11
"0270-7099-16",2015,1
"0273-8011-01",2017,9
"0280-2150-02",2015,1
"0295-1062-13",2017,1
"0295-1189-05",2017,1
"0295-1189-15",2017,1
"0295-1189-17",2017,1
"0295-1217-02",2017,1
"0295-1224-02",2017,1
"0295-1231-02",2017,1
"0295-1237-02",2017,1
"0295-1237-05",2017,1
"0295-1610-12",2017,1
"0295-1626-12",2017,1
"0295-7362-02",2012,6
"0299-3674-03",2014,12
"0299-3674-06",2014,12
"0299-3913-01",2011,12
"0299-3913-04",2011,12
"0299-3928-04",2000,4
"0299-3928-07",2015,2
"0299-4913-00",2017,11
"0299-4930-02",2012,1
"0299-5889-00",2016,12
"0299-5889-05",2016,12
"0310-6512-85",2015,6
"0311-0585-97",2013,12
"0311-0700-01",2009,7
"0311-0701-01",2016,4
"0311-0702-01",2013,11
"0311-0703-01",2009,4
"0311-0704-01",2013,4
"0311-0705-01",2013,4
"0311-0706-01",2013,11
"0311-0707-01",2016,4
"0311-0708-13",2016,4
"0311-0709-01",2016,4
"0311-0710-01",2016,4
"0311-0711-01",2016,1
"0311-0712-22",2014,1
"0311-0713-22",2014,1
"0311-0714-17",2014,1
"0311-0715-01",2007,9
"0311-0718-20",2007,9
"0316-2010-10",2002,10
"0316-2010-15",2007,8
"0316-2010-20",2001,4
"0316-2010-30",2006,1
"0316-2010-40",2001,4
"0316-2010-50",2001,4
"0316-2010-60",2004,2
"0316-2020-05",2018,1
"0316-2020-10",2002,10
"0316-2020-20",2001,4
"0316-2020-30",2006,1
"0316-2020-40",2001,4
"0316-2020-50",2009,5
"0316-2020-60",2009,5
"0316-2035-10",2004,4
"0316-2035-20",2004,4
"0316-2035-30",2006,1
"0316-2035-40",2003,12
"0316-2035-50",2005,1
"0316-2035-60",2004,2
"0316-2045-10",2004,4
"0316-2045-20",2004,4
"0316-2045-30",2006,1
"0316-2045-40",2003,12
"0316-2045-50",2005,1
"0316-2045-60",2004,2
"0316-2055-10",2010,4
"0316-2055-20",2010,4
"0316-2055-30",2010,4
"0316-2055-40",2010,4
"0316-2060-10",2018,1
"0316-2060-30",2018,1
"0316-2060-40",2018,1
"0316-2060-50",2018,1
"0316-2060-60",2018,1
"0316-2070-10",2018,1
"0316-2070-30",2018,1
"0316-2070-40",2018,1
"0316-2070-50",2018,1
"0316-2070-60",2018,1
"0338-0341-04",2000,4
"0338-9529-70",2018,3
"0338-9537-50",2018,3
"0338-9566-08",2017,10
"0338-9570-08",2017,10
"0338-9575-03",2017,11
"0338-9577-10",2017,11
"0338-9587-04",2017,10
"0360-0004-02",1997,2
"0360-0005-02",1997,2
"0360-0010-02",1955,1
"0360-0011-01",1997,2
"0360-0014-01",1997,2
"0360-0015-01",1997,2
"0360-0017-01",1997,2
"0360-0018-01",1997,2
"0360-0023-01",1997,2
"0360-0024-01",1997,2
"0360-0027-01",1997,2
"0360-0028-01",1997,2
"0360-0031-02",1997,2
"0360-0033-01",1997,2
"0360-0041-03",1997,2
"0360-0043-02",1997,2
"0360-0048-02",1997,2
"0360-0050-01",1997,2
"0360-0053-01",1997,2
"0360-0056-01",1997,2
"0360-0057-01",1997,2
"0360-0061-01",1997,2
"0360-0063-01",1997,2
"0360-0067-01",1997,2
"0360-0068-01",1997,2
"0360-0070-01",1997,2
"0360-0071-01",1997,2
"0360-0076-01",1997,2
"0360-0077-01",1997,2
"0360-0083-01",1997,2
"0360-0085-02",1997,2
"0360-0087-02",1997,2
"0360-0088-01",1997,2
"0360-0089-01",1997,2
"0360-0090-01",1997,2
"0360-0093-01",1997,2
"0360-0094-01",1997,2
"0360-0097-01",1997,2
"0360-0097-03",1997,2
"0360-0098-01",1997,2
"0360-0099-01",1997,2
"0360-0099-03",1997,2
"0360-0102-01",1997,2
"0360-0103-01",1997,2
"0360-0105-03",1997,2
"0360-0107-02",1997,2
"0360-0109-01",1997,2
"0360-0110-01",1997,2
"0360-0114-01",1997,2
"0360-0115-01",1997,2
"0360-0119-01",1997,2
"0360-0120-01",1997,2
"0360-0122-01",1997,2
"0360-0123-01",1997,2
"0360-0128-01",1997,2
"0360-0129-01",1997,2
"0360-0131-01",1997,2
"0360-0132-01",1997,2
"0360-0134-01",1997,2
"0360-0135-01",1997,2
"0360-0138-01",1997,2
"0360-0139-01",1997,2
"0360-0142-01",1997,2
"0360-0143-01",1997,2
"0360-0145-01",1997,2
"0360-0146-01",1997,2
"0360-0147-01",1997,2
"0360-0148-01",1997,2
"0360-0150-01",1997,2
"0360-0151-01",1997,2
"0360-0156-01",1997,2
"0360-0157-01",1997,2
"0360-0159-01",1997,2
"0360-0160-01",1997,2
"0360-0162-01",1997,2
"0360-0163-01",1997,2
"0360-0167-01",1997,2
"0360-0168-01",1997,2
"0360-0172-01",1997,2
"0360-0177-02",1997,2
"0360-0177-03",1997,2
"0360-0179-01",1997,2
"0360-0179-03",1997,2
"0360-0182-01",1997,2
"0360-0183-01",1997,2
"0360-0188-01",1997,2
"0360-0189-01",1997,2
"0360-0194-01",1997,2
"0360-0195-01",1997,2
"0360-0200-01",1997,2
"0360-0201-01",1997,2
"0360-0203-01",1997,2
"0360-0204-01",1997,2
"0360-0210-01",1997,2
"0360-0211-01",1997,2
"0360-0215-01",1997,2
"0360-0216-01",1997,2
"0360-0219-01",1997,2
"0360-0220-01",1997,2
"0360-0225-01",1997,2
"0360-0227-01",1997,2
"0360-0228-02",1997,2
"0360-0229-01",1997,2
"0360-0233-02",1997,2
"0360-0235-02",1997,2
"0360-0237-02",1997,2
"0360-0239-02",1997,2
"0360-0241-03",1997,2
"0360-0243-02",1997,2
"0360-0245-01",1997,2
"0360-0247-01",1997,2
"0360-0251-01",1997,2
"0360-0252-01",1997,2
"0360-0254-01",1997,2
"0360-0255-01",1997,2
"0360-0259-01",1997,2
"0360-0260-01",1997,2
"0360-0263-01",1997,2
"0360-0263-03",1997,2
"0360-0265-01",1997,2
"0360-0265-02",1997,2
"0360-0268-01",1997,2
"0360-0275-02",1997,2
"0360-0277-02",1997,2
"0360-0279-02",1997,2
"0360-0281-01",1997,2
"0360-0283-02",1997,2
"0360-0285-01",1997,2
"0360-0293-01",1997,2
"0360-0294-01",1997,2
"0360-0296-01",1997,2
"0360-0297-01",1997,2
"0360-0301-01",1997,2
"0360-0304-01",1997,2
"0360-0305-01",1997,2
"0360-0306-01",1997,2
"0360-0308-01",1997,2
"0360-0310-01",1997,2
"0360-0312-01",1997,2
"0360-0313-01",1997,2
"0360-0315-01",1997,2
"0360-0319-01",1997,2
