"RXCUI","NDC","YEAR","MONTH"
880407,"0113-0306-17",2017,4
880407,"0113-0306-18",2017,5
880407,"0113-0306-19",2017,3
1188426,"0113-0323-65",2013,11
211911,"0113-0337-34",1990,1
210035,"0113-0357-40",1990,7
198852,"0113-0428-60",2010,10
211827,"0113-0467-68",1992,11
308761,"0113-0469-65",1993,8
308761,"0113-0469-91",2016,8
210112,"0113-0485-47",1992,6
209859,"0113-0486-72",1991,10
307694,"0113-0544-62",2005,11
307694,"0113-0544-71",2005,11
307694,"0113-0544-78",2009,9
672809,"0113-0656-30",2006,7
672809,"0113-0656-38",2006,7
252294,"0113-0657-72",2002,4
313518,"0113-0795-21",2018,3
283219,"0113-0866-26",2007,12
198857,"0113-0882-10",2000,2
477589,"0113-0896-65",2014,2
1038851,"0113-0964-91",2010,9
880407,"0113-7306-02",2017,8
880407,"0113-7306-03",2018,1
880407,"0113-7306-09",2017,8
308761,"0113-7469-65",2019,1
977923,"0115-1231-01",2013,1
977923,"0115-1231-03",2013,1
977923,"0115-1231-08",2013,1
977923,"0115-1231-13",2013,1
977874,"0115-1232-01",2013,1
977874,"0115-1232-03",2013,1
977874,"0115-1232-08",2013,1
977874,"0115-1232-13",2013,1
977902,"0115-1233-01",2013,1
977902,"0115-1233-03",2013,1
977902,"0115-1233-08",2013,1
977902,"0115-1233-13",2013,1
977915,"0115-1234-01",2013,1
977915,"0115-1234-03",2013,1
977915,"0115-1234-08",2013,1
977915,"0115-1234-13",2013,1
977929,"0115-1315-01",2013,1
977929,"0115-1315-03",2013,1
977929,"0115-1315-08",2013,1
977929,"0115-1315-13",2013,1
977894,"0115-1316-01",2013,1
977894,"0115-1316-03",2013,1
977894,"0115-1316-08",2013,1
977894,"0115-1316-13",2013,1
977909,"0115-1317-01",2013,1
977909,"0115-1317-03",2013,1
977909,"0115-1317-08",2013,1
977909,"0115-1317-13",2013,1
349590,"0115-1672-23",2013,3
311286,"0115-1673-23",2013,3
242754,"0115-1674-23",2013,3
197935,"0115-1745-01",2016,5
351254,"0115-1748-01",2007,11
351254,"0115-1748-02",2007,11
1099563,"0115-6911-01",2009,8
1099563,"0115-6911-02",2009,8
1099569,"0115-6922-01",2009,8
1099569,"0115-6922-02",2009,8
349590,"0115-9930-78",2017,2
311286,"0115-9931-78",2017,2
242754,"0115-9932-78",2017,2
314272,"0121-0675-16",2005,4
308762,"0121-4803-30",2009,9
1111170,"0132-0119-46",2011,5
1293083,"0132-0194-14",2016,10
1111170,"0132-0201-10",2004,6
1111170,"0132-0201-40",2017,5
1111170,"0132-0201-42",2017,5
1111170,"0132-0201-45",2017,5
1111170,"0132-0202-20",2002,5
352091,"0132-0208-12",2012,2
352091,"0132-0208-48",2012,2
1537320,"0132-0211-12",2014,4
1537320,"0132-0214-24",2014,4
1537320,"0132-0215-37",2014,4
807367,"0135-0096-26",2011,6
197739,"0143-1251-01",2009,3
197892,"0143-1277-01",2002,9
242761,"0143-9298-10",2011,3
237788,"0143-9552-01",2000,4
311282,"0143-9553-01",1995,5
311282,"0143-9554-01",1988,3
311282,"0143-9555-01",1987,9
1720760,"0143-9558-01",2016,7
242761,"0143-9570-10",2011,3
238212,"0143-9584-10",2015,6
238212,"0143-9585-25",2015,6
238212,"0143-9586-25",2015,6
238212,"0143-9587-25",2015,6
238212,"0143-9679-10",2011,9
238212,"0143-9680-25",2011,9
238212,"0143-9681-25",2011,9
238212,"0143-9682-25",2011,9
1729200,"0143-9786-10",2008,12
1729200,"0143-9787-10",2008,12
853044,"0143-9853-16",2009,8
853044,"0143-9853-24",2009,8
853044,"0143-9853-75",2009,8
646041,"0143-9899-91",2005,8
606866,"0145-0628-05",2011,2
606866,"0145-0628-62",2011,2
905032,"0149-0470-01",1998,3
905041,"0149-0471-01",2000,4
905043,"0149-0471-03",2000,4
905024,"0149-0472-01",2002,5
477421,"0149-0472-02",2002,5
477421,"0149-0472-04",2002,5
905030,"0149-0478-01",2008,4
905030,"0149-0478-02",2008,4
905030,"0149-0478-03",2008,4
905030,"0149-0478-06",2008,4
417994,"0164-2189-49",2013,6
417994,"0164-2189-53",2013,6
417994,"0164-2189-54",2013,6
1546589,"0164-2207-65",2014,8
1546589,"0164-2207-66",2014,8
1303161,"0168-0035-01",1981,1
1303161,"0168-0035-02",1981,1
1303161,"0168-0035-04",1981,1
1303161,"0168-0035-16",1981,1
1303161,"0168-0035-45",1981,1
204754,"0168-0053-16",1968,1
204754,"0168-0053-21",1968,1
204754,"0168-0053-31",1968,1
210868,"0168-0053-45",1968,1
198911,"0168-0062-02",1968,1
198911,"0168-0062-16",1968,1
198911,"0168-0062-31",1968,1
311027,"0169-1834-02",1991,7
311027,"0169-1834-11",1991,7
1986354,"0169-3201-11",2017,10
1986354,"0169-3201-90",2017,10
1986356,"0169-3204-15",2017,10
1986356,"0169-3204-97",2017,10
1986356,"0169-3205-15",2018,9
1986356,"0169-3205-95",2018,9
351926,"0169-3303-12",2001,8
