"NDC","YEAR","MONTH"
"0009-0057-07",2003,1
"0009-0059-07",2003,1
"0009-0064-04",1959,6
"0009-0064-06",1959,6
"0009-0066-07",2003,1
"0009-0068-07",2003,1
"0009-0073-01",1957,10
"0009-0085-10",2014,7
"0009-0086-01",2014,7
"0009-0086-10",2014,7
"0009-0090-01",1981,10
"0009-0090-04",1981,10
"0009-0090-13",1981,10
"0009-0094-01",1981,10
"0009-0094-03",1981,10
"0009-0176-01",1957,10
"0009-0225-02",1970,5
"0009-0233-01",1948,7
"0009-0233-03",1948,7
"0009-0233-44",1948,7
"0009-0233-45",1948,7
"0009-0234-01",1948,7
"0009-0234-02",1948,7
"0009-0241-01",1948,7
"0009-0241-10",1948,7
"0009-0260-01",1977,4
"0009-0260-02",1977,4
"0009-0260-04",1977,4
"0009-0260-17",1977,4
"0009-0271-01",1979,8
"0009-0274-01",1959,5
"0009-0280-02",1959,5
"0009-0280-03",1959,5
"0009-0280-24",1959,5
"0009-0280-25",1959,5
"0009-0280-51",1959,5
"0009-0280-52",1959,5
"0009-0286-03",1959,6
"0009-0302-25",2014,4
"0009-0306-02",1959,5
"0009-0306-12",1959,5
"0009-0306-24",1959,5
"0009-0331-02",1970,5
"0009-0341-01",1992,3
"0009-0347-02",1979,7
"0009-0352-01",1992,3
"0009-0352-04",1992,3
"0009-0370-03",1977,4
"0009-0370-05",1977,4
"0009-0395-14",1970,5
"0009-0417-01",1979,7
"0009-0417-02",1979,7
"0009-0436-01",1976,6
"0009-0450-03",1994,7
"0009-0520-01",2014,3
"0009-0520-10",2014,3
"0009-0555-01",1964,12
"0009-0555-02",1964,12
"0009-0602-25",2014,4
"0009-0626-01",1960,11
"0009-0698-01",1959,4
"0009-0728-09",1972,10
"0009-0746-30",1992,10
"0009-0746-35",1992,10
"0009-0758-01",1959,4
"0009-0760-04",1986,4
"0009-0775-26",1972,10
"0009-0796-01",1959,4
"0009-0825-01",1955,4
"0009-0827-03",1978,1
"0009-0856-05",1979,1
"0009-0856-08",1979,1
"0009-0870-26",1972,10
"0009-0901-25",2014,4
"0009-0902-18",1972,10
"0009-1111-02",1996,6
"0009-3073-01",1959,5
"0009-3073-03",1959,5
"0009-3073-22",1959,5
"0009-3073-23",1959,5
"0009-3116-01",1980,6
"0009-3116-02",1980,6
"0009-3116-14",1980,6
"0009-3124-03",1987,10
"0009-3169-06",1981,10
"0009-3329-01",1989,5
"0009-3331-01",1987,1
"0009-3331-02",1987,1
"0009-3359-02",1992,12
"0009-3375-02",1990,8
"0009-3381-02",1990,8
"0009-3382-02",1990,8
"0009-3447-03",1987,10
"0009-3448-01",1992,8
"0009-3449-01",1992,3
"0009-3449-03",1992,3
"0009-3470-02",2014,9
"0009-3475-01",1959,5
"0009-3475-03",1959,5
"0009-3475-22",1959,5
"0009-3475-23",1959,5
"0009-3701-05",1995,7
"0009-3794-01",1995,12
"0009-3794-22",1995,12
"0009-4541-02",1998,3
"0009-4544-02",1998,3
"0009-4544-03",1998,3
"0009-4709-13",2005,5
"0009-4992-02",2015,7
"0009-5012-01",1996,12
"0009-5013-01",1996,12
"0009-5014-01",1996,12
"0009-5091-01",1999,9
"0009-5093-01",1999,9
"0009-5135-01",2000,4
"0009-5135-02",2000,4
"0009-5135-03",2000,4
"0009-5136-01",2000,4
"0009-5137-04",2000,4
"0009-5138-02",2015,10
"0009-5138-03",2015,10
"0009-5140-04",2000,4
"0009-5176-01",2003,5
"0009-5176-02",2003,5
"0009-5178-01",2003,5
"0009-5178-02",2003,5
"0009-5180-01",2003,5
"0009-5180-02",2003,5
"0009-5181-01",2002,6
"0009-5182-01",2002,6
"0009-5190-01",2000,2
"0009-5190-02",2000,2
"0009-5190-03",2000,2
"0009-5190-04",2000,2
